| No | Level | Date | Time | Text |
|45|DEBUG|22 Mar 2020|08:51 AM|:.....mailslot_create: creating mailslot for RSVP via UDP|
|46|DEBUG|22 Mar 2020|08:51 AM|:.....mailslot_create: creating mailslot for RSVP|
|47|DEBUG|22 Mar 2020|08:51 AM|:......mailslot_create: creating socket for querying route|
|48|DEBUG|22 Mar 2020|08:51 AM|:....mailslot_create: creating mailslot for RSVP client API|
|49|DEBUG|22 Mar 2020|08:51 AM|:...mailbox_register: mailbox allocated for rsvp-api|
|50|DEBUG|22 Mar 2020|08:51 AM|:...mailslot_create: creating mailslot for terminate|
|51|DEBUG|23 Mar 2020|08:52 AM|:.......init_policyAPI: APIInitialize: ApiHandle = 98BDFB0, connfd = 22|
|52|DEBUG|23 Mar 2020|08:52 AM|:.......init_policyAPI: ReadBuffer: Exiting|
|53|DEBUG|23 Mar 2020|08:52 AM|:......rpapi_getPolicyData: RSVPFindActionName: Result = 0|
|54|DEBUG|23 Mar 2020|08:52 AM|:......rpapi_getPolicyData: RSVPFindServiceDetailsOnActName: Result = 0|
